"dataset","split","support","class","n_c","G_c","min_m_ic","max_m_ic","max_share","D_c"
"bracs","0","balanced","N","2400","37","24","76","0.03166666666666667","0.11860360360360361"
"bracs","0","balanced","PB","2400","20","15","189","0.07875","0.22916666666666669"
"bracs","0","balanced","UDH","2400","31","6","114","0.0475","0.27084677419354836"
"bracs","0","balanced","FEA","2399","20","28","213","0.08878699458107545","0.21604835348061696"
"bracs","0","balanced","ADH","2399","39","4","85","0.035431429762401004","0.21184040358696457"
"bracs","0","balanced","DCIS","2399","20","25","225","0.09378907878282618","0.15391829929137138"
"bracs","0","balanced","IC","2399","20","4","158","0.06586077532305128","0.1444351813255523"
"bracs","0","balanced_spread","N","2400","51","1","53","0.022083333333333333","0.08943627450980393"
"bracs","0","balanced_spread","PB","2400","69","4","42","0.0175","0.13461956521739127"
"bracs","0","balanced_spread","UDH","2400","50","1","71","0.029583333333333333","0.2525"
"bracs","0","balanced_spread","FEA","2399","32","3","99","0.04126719466444352","0.17701385994164234"
"bracs","0","balanced_spread","ADH","2399","39","4","85","0.035431429762401004","0.21184040358696457"
"bracs","0","balanced_spread","DCIS","2399","34","2","81","0.033764068361817424","0.11065885295343648"
"bracs","0","balanced_spread","IC","2399","42","4","64","0.026677782409337224","0.09575418329065685"
"bracs","1","balanced","N","3886","49","14","100","0.02573340195573855","0.16173705714915926"
"bracs","1","balanced","PB","3886","20","4","282","0.0725681935151827","0.2094698919197118"
"bracs","1","balanced","UDH","3886","44","1","130","0.033453422542460115","0.2563280774809339"
"bracs","1","balanced","FEA","3886","24","1","341","0.08775090066906845","0.3486875965002573"
"bracs","1","balanced","ADH","3886","29","12","375","0.09650025733401955","0.36309830159547096"
"bracs","1","balanced","DCIS","3886","33","2","167","0.042974781266083374","0.22892590339836866"
"bracs","1","balanced","IC","3886","24","12","193","0.049665465774575396","0.14243437982501286"
"bracs","1","balanced_spread","N","3886","49","14","100","0.02573340195573855","0.16173705714915926"
"bracs","1","balanced_spread","PB","3886","68","4","77","0.019814719505918683","0.20504980170143206"
"bracs","1","balanced_spread","UDH","3886","46","1","120","0.03088008234688626","0.241155541632169"
