cancer_type,resolution,slide_id,n_jpg_patches
Adrenocortical_carcinoma,0,TCGA-OR-A5J1-01Z-00-DX1,30
Adrenocortical_carcinoma,0,TCGA-OR-A5J1-01Z-00-DX4,30
Adrenocortical_carcinoma,0,TCGA-OR-A5J2-01Z-00-DX1,30
Adrenocortical_carcinoma,0,TCGA-OR-A5J3-01Z-00-DX1,30
Adrenocortical_carcinoma,0,TCGA-OR-A5J5-01Z-00-DX1,30
Adrenocortical_carcinoma,0,TCGA-OR-A5J8-01Z-00-DX1,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JA-01Z-00-DX1,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JA-01Z-00-DX2,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JA-01Z-00-DX3,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JA-01Z-00-DX4,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JA-01Z-00-DX5,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JB-01Z-00-DX1,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JB-01Z-00-DX2,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JB-01Z-00-DX3,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JB-01Z-00-DX4,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JB-01Z-00-DX5,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JC-01Z-00-DX2,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JC-01Z-00-DX3,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JD-01Z-00-DX2,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JD-01Z-00-DX4,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JD-01Z-00-DX5,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JE-01Z-00-DX2,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JE-01Z-00-DX3,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JE-01Z-00-DX4,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JE-01Z-00-DX5,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JF-01Z-00-DX2,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JF-01Z-00-DX3,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JF-01Z-00-DX4,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JG-01Z-00-DX1,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JG-01Z-00-DX2,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JG-01Z-00-DX4,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JG-01Z-00-DX5,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JI-01Z-00-DX1,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JI-01Z-00-DX2,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JI-01Z-00-DX3,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JI-01Z-00-DX4,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JJ-01Z-00-DX1,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JJ-01Z-00-DX2,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JJ-01Z-00-DX4,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JJ-01Z-00-DX5,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JK-01Z-00-DX1,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JK-01Z-00-DX3,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JK-01Z-00-DX4,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JK-01Z-00-DX5,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JL-01Z-00-DX1,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JL-01Z-00-DX2,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JL-01Z-00-DX3,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JL-01Z-00-DX4,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JL-01Z-00-DX5,30
Adrenocortical_carcinoma,0,TCGA-OR-A5JM-01Z-00-DX3,30
