method,split,role,taxonomy_category,representative_paper,accuracy_mean,balanced_accuracy_mean,macro_precision_mean,macro_recall_mean,macro_f1_mean,negative_log_likelihood_mean,brier_score_mean,expected_calibration_error_mean,accuracy_std,balanced_accuracy_std,macro_precision_std,macro_recall_std,macro_f1_std,negative_log_likelihood_std,brier_score_std,expected_calibration_error_std
patch_feature_ce_soft_mcc_balanced,test,representative,algorithm-level losses,Scholz et al.; CE + soft MCC + balanced sampling,0.8371129745380174,0.782025089374209,0.7892863176657676,0.782025089374209,0.7823025337075613,1.951889793725198,0.29632051193297754,0.13998190064720062,0.006520615216254693,0.007843392687334215,0.005986608966013397,0.007843392687334215,0.007393010625861832,0.09194069538239595,0.011806825332912697,0.005564488981644466
patch_feature_ce_soft_f1_balanced,test,representative,algorithm-level losses,Scholz et al.; CE + soft F1 + balanced sampling,0.8373687784615229,0.7823897291384384,0.7874432414953964,0.7823897291384384,0.7817712597638121,2.2023126133595476,0.30131855954350306,0.14417650343216035,0.003988993436966083,0.0035826724581880095,0.005082768213298373,0.0035826724581880095,0.0044707610355622755,0.08861514153872677,0.008056089069481662,0.004317806173392885
patch_feature_weighted_ce,test,baseline,algorithm-level losses,Class-weighted cross-entropy,0.8302484892652716,0.7742439889869678,0.783850917423861,0.7742439889869678,0.7758650743262061,1.7159304549952854,0.3017485446237526,0.1401366983237696,0.0042022482144416316,0.006432311707388284,0.017768498800968743,0.006432311707388284,0.012496814509822903,0.002707149889123541,0.006810777314845138,0.0033307019398500413
patch_feature_ce,test,baseline,baseline,Unweighted cross-entropy,0.8337376076901908,0.7699647902710535,0.7914954853269625,0.7699647902710535,0.7758497994114378,1.808407882544633,0.2993834970440648,0.1405450171565309,0.002375362989926286,0.0026846525090204448,0.0008746297586762478,0.0026846525090204448,0.0017942213951494652,0.08746234530257242,0.004674654159927826,0.0027223973173488643
patch_feature_balanced_sampler_ce,test,baseline,data-level sampling,Class-balanced sampling,0.8316191354207175,0.7767120475531594,0.7814457179601172,0.7767120475531594,0.7753551742660981,1.8072805977858275,0.3021549269785026,0.14130317400914738,0.004681165666910118,0.008629163697747709,0.008797197976583003,0.008629163697747709,0.007844654058178436,0.10505842362654401,0.008693008835128002,0.00424966044132274
patch_feature_progan_aug,test,representative,synthetic generation,Ruiz-Casado et al.; ProGAN augmentation adaptation,0.830121843173849,0.7669732650389623,0.7897376868663185,0.7669732650389623,0.7735234459535697,2.3366839491060603,0.31432547745623346,0.15085481758531905,0.0029013329656031052,0.011279718989151526,0.0029829672088220976,0.011279718989151526,0.007977534303039964,0.11831738848002682,0.006164492843557673,0.0033780603158715472
patch_feature_focal,test,baseline,algorithm-level losses,Focal loss,0.8302942505903209,0.7596937351429128,0.7855253813852009,0.7596937351429128,0.7658902743942778,1.1557517515196083,0.28223101998092837,0.11843681915029765,0.0038373337736848858,0.0017001543973308153,0.005649256652168205,0.0017001543973308153,0.002798501171226866,0.04339122824858007,0.005596089302819032,0.0023663055374405664
patch_feature_ce_soft_f1_balanced,val,representative,algorithm-level losses,Scholz et al.; CE + soft F1 + balanced sampling,0.8384710784202446,0.7952158695574888,0.8027646883044678,0.7952158695574888,0.7967057714941594,2.142730771739678,0.2990164192137144,0.14259070839248192,0.008938241544896726,0.006382307960331436,0.01793818475353695,0.006382307960331436,0.012076753289518629,0.12733199663391703,0.017406313349836746,0.008739904362617911
patch_feature_ce_soft_mcc_balanced,val,representative,algorithm-level losses,Scholz et al.; CE + soft MCC + balanced sampling,0.8381444387206467,0.7928961548303475,0.8031755149354796,0.7928961548303475,0.7952285258027721,1.9055209005163043,0.29384672093138153,0.13866858556661182,0.003504123097538954,0.005932889109591457,0.008716110576394927,0.005932889109591457,0.00684619188620842,0.04891452113370076,0.006791479630398575,0.0029698501793068055
patch_feature_balanced_sampler_ce,val,baseline,data-level sampling,Class-balanced sampling,0.8356799870733335,0.7942252636887526,0.7972182817568981,0.7942252636887526,0.7932034358804074,1.7450375143968515,0.29444580841836127,0.1370381943787465,0.007358748460451535,0.005092661968762071,0.00330709114419131,0.005092661968762071,0.003616186504482436,0.06992183308090373,0.012748182640138356,0.006282479405115386
patch_feature_weighted_ce,val,baseline,algorithm-level losses,Class-weighted cross-entropy,0.8334603352693245,0.7875705593791151,0.796393898116071,0.7875705593791151,0.7876932188464044,1.683731050847215,0.2958725366271598,0.1367083026806514,0.008073541214590647,0.003259817231797875,0.017166495709356154,0.003259817231797875,0.007636010403734353,0.11153165880680853,0.015965305567434824,0.007916248358432257
patch_feature_ce,val,baseline,baseline,Unweighted cross-entropy,0.8352891356274329,0.776925157749984,0.8004331115244829,0.776925157749984,0.7853771983145238,1.7725086006173527,0.29615882097822416,0.13858118278016165,0.008250749846274453,0.011276848884847195,0.009851045184269647,0.011276848884847195,0.009859456599701435,0.0821644185044403,0.01567606092407116,0.0076529220337418985
patch_feature_progan_aug,val,representative,synthetic generation,Ruiz-Casado et al.; ProGAN augmentation adaptation,0.8298717889981618,0.7766218318371121,0.8017126478429809,0.7766218318371121,0.7851970208734547,2.3332499944683005,0.3147689287267528,0.1507024849236508,0.009800304481396628,0.016196129676522186,0.005972393866691355,0.016196129676522186,0.0115565172608936,0.22519317877627404,0.01952101665752345,0.009714992549013646
patch_feature_focal,val,baseline,algorithm-level losses,Focal loss,0.8308242614534126,0.7711356035778335,0.7979674287999693,0.7711356035778335,0.7793547221057461,1.136791837631387,0.28140027625179165,0.11798417596593362,0.009247065822710393,0.008252119534534764,0.01150212287956866,0.008252119534534764,0.011244354133576061,0.09500890032442048,0.017243606962474387,0.008846619276088874
