method,role,taxonomy_category,representative_paper,seed,split,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,negative_log_likelihood,brier_score,expected_calibration_error
patch_ce,baseline,baseline,Unweighted cross-entropy,0,val,0.43312977099236644,0.32613255856596657,0.33834032746728926,0.32613255856596657,0.3259213203068994,2.0976148878185152,0.7141203621158744,0.027758520549262748
patch_ce,baseline,baseline,Unweighted cross-entropy,0,test,0.41908396946564885,0.3237288432238495,0.35617754713978966,0.3237288432238495,0.32560495443769105,2.1086839263388115,0.7264245283409866,0.0378357620218783
patch_ce,baseline,baseline,Unweighted cross-entropy,1,val,0.39541984732824426,0.27981152871116366,0.3475906931686715,0.27981152871116366,0.2866126945838617,2.226039746107499,0.7446736133528697,0.03931464894468549
patch_ce,baseline,baseline,Unweighted cross-entropy,1,test,0.40572519083969466,0.2882231743878067,0.33850158056407353,0.2882231743878067,0.2969814794582861,2.1528540333056077,0.7345533224789615,0.031095793825069447
patch_ce,baseline,baseline,Unweighted cross-entropy,2,val,0.4454198473282443,0.3311824557625534,0.3797433267204313,0.3311824557625534,0.33675403596960196,2.1062717635860957,0.7007756157648158,0.03518367971969015
patch_ce,baseline,baseline,Unweighted cross-entropy,2,test,0.4485496183206107,0.32613757373989055,0.3758171535304782,0.32613757373989055,0.33409200904686337,2.0408586582574317,0.6949970126390554,0.03262112543783113
patch_weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,0,val,0.3482442748091603,0.34682793492618696,0.2982952183251463,0.34682793492618696,0.2916501281396047,2.353493889073711,0.7936594806581894,0.088875784859175
patch_weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,0,test,0.3414503816793893,0.3315573176069001,0.2853419008800526,0.3315573176069001,0.28126737176671657,2.3711043834858865,0.8004369890086143,0.0874010400565071
patch_weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,1,val,0.33236641221374047,0.3237969589457064,0.27629080957788854,0.3237969589457064,0.2738505335335669,2.4396268898676303,0.8063592570149194,0.058893308114004485
patch_weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,1,test,0.3377862595419847,0.33279967442780567,0.2851153086010014,0.33279967442780567,0.28072005032888836,2.407619681108812,0.7968275200512998,0.0573384727185009
