split,cancer_type,n_slides
test,Adrenocortical_carcinoma,26
test,Bladder_Urothelial_Carcinoma,54
test,Brain_Lower_Grade_Glioma,108
test,Breast_invasive_carcinoma,115
test,Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,30
test,Cholangiocarcinoma,4
test,Colon_adenocarcinoma,32
test,Esophageal_carcinoma,17
test,Glioblastoma_multiforme,116
test,Head_and_Neck_squamous_cell_carcinoma,50
test,Kidney_Chromophobe,12
test,Kidney_renal_clear_cell_carcinoma,59
test,Kidney_renal_papillary_cell_carcinoma,32
test,Liver_hepatocellular_carcinoma,41
test,Lung_adenocarcinoma,71
test,Lung_squamous_cell_carcinoma,66
test,Lymphoid_Neoplasm_Diffuse_Large_B-cell_Lymphoma,4
test,Mesothelioma,13
test,Ovarian_serous_cystadenocarcinoma,13
test,Pancreatic_adenocarcinoma,22
test,Pheochromocytoma_and_Paraganglioma,7
test,Prostate_adenocarcinoma,50
test,Rectum_adenocarcinoma,9
test,Sarcoma,73
test,Skin_Cutaneous_Melanoma,52
test,Stomach_adenocarcinoma,42
test,Testicular_Germ_Cell_Tumors,29
test,Thymoma,24
test,Thyroid_carcinoma,58
test,Uterine_Carcinosarcoma,7
test,Uterine_Corpus_Endometrial_Carcinoma,64
test,Uveal_Melanoma,8
train,Adrenocortical_carcinoma,116
train,Bladder_Urothelial_Carcinoma,232
train,Brain_Lower_Grade_Glioma,557
train,Breast_invasive_carcinoma,540
train,Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,148
train,Cholangiocarcinoma,22
train,Colon_adenocarcinoma,149
train,Esophageal_carcinoma,78
train,Glioblastoma_multiforme,562
train,Head_and_Neck_squamous_cell_carcinoma,231
train,Kidney_Chromophobe,58
train,Kidney_renal_clear_cell_carcinoma,272
train,Kidney_renal_papillary_cell_carcinoma,154
train,Liver_hepatocellular_carcinoma,196
train,Lung_adenocarcinoma,339
train,Lung_squamous_cell_carcinoma,328
train,Lymphoid_Neoplasm_Diffuse_Large_B-cell_Lymphoma,20
train,Mesothelioma,48
train,Ovarian_serous_cystadenocarcinoma,58
train,Pancreatic_adenocarcinoma,96
train,Pheochromocytoma_and_Paraganglioma,30
train,Prostate_adenocarcinoma,233
train,Rectum_adenocarcinoma,45
train,Sarcoma,299
train,Skin_Cutaneous_Melanoma,235
train,Stomach_adenocarcinoma,191
train,Testicular_Germ_Cell_Tumors,140
train,Thymoma,73
train,Thyroid_carcinoma,264
train,Uterine_Carcinosarcoma,52
train,Uterine_Corpus_Endometrial_Carcinoma,286
train,Uveal_Melanoma,39
val,Adrenocortical_carcinoma,24
val,Bladder_Urothelial_Carcinoma,47
val,Brain_Lower_Grade_Glioma,119
val,Breast_invasive_carcinoma,115
val,Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,31
val,Cholangiocarcinoma,4
val,Colon_adenocarcinoma,31
val,Esophageal_carcinoma,18
val,Glioblastoma_multiforme,114
val,Head_and_Neck_squamous_cell_carcinoma,48
val,Kidney_Chromophobe,12
val,Kidney_renal_clear_cell_carcinoma,58
val,Kidney_renal_papillary_cell_carcinoma,41
val,Liver_hepatocellular_carcinoma,41
val,Lung_adenocarcinoma,84
val,Lung_squamous_cell_carcinoma,75
val,Lymphoid_Neoplasm_Diffuse_Large_B-cell_Lymphoma,4
val,Mesothelioma,9
val,Ovarian_serous_cystadenocarcinoma,13
val,Pancreatic_adenocarcinoma,19
val,Pheochromocytoma_and_Paraganglioma,8
val,Prostate_adenocarcinoma,45
val,Rectum_adenocarcinoma,9
val,Sarcoma,79
val,Skin_Cutaneous_Melanoma,50
val,Stomach_adenocarcinoma,41
val,Testicular_Germ_Cell_Tumors,32
val,Thymoma,23
val,Thyroid_carcinoma,57
val,Uterine_Carcinosarcoma,12
val,Uterine_Corpus_Endometrial_Carcinoma,66
val,Uveal_Melanoma,8
