seed,class_name,real_train_patches,generated_patches,balance_target,inception_fid,fid_status,virchow_mean_nn_distance
0,Adrenocortical_carcinoma,3480,13120,16600,219.75958578465807,computed,44.46319341659546
0,Bladder_Urothelial_Carcinoma,6990,9610,16600,177.9638036300758,computed,44.097998321056366
0,Brain_Lower_Grade_Glioma,16430,170,16600,167.38657124254166,computed,33.03442761301994
0,Breast_invasive_carcinoma,16100,500,16600,145.86656234092578,computed,46.603019416332245
0,Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,4410,12190,16600,146.04845160596324,computed,47.88924562931061
0,Cholangiocarcinoma,660,15940,16600,232.2025417557876,computed,49.08679360151291
0,Colon_adenocarcinoma,4440,12160,16600,166.0682049598082,computed,49.49621516466141
0,Esophageal_carcinoma,2360,14240,16600,127.91174323914993,computed,47.88625568151474
0,Head_and_Neck_squamous_cell_carcinoma,6930,9670,16600,188.6532458516911,computed,49.29096430540085
0,Kidney_Chromophobe,1740,14860,16600,207.73807368353738,computed,40.86726975440979
0,Kidney_renal_clear_cell_carcinoma,8170,8430,16600,208.6040220215225,computed,35.60278004407883
0,Kidney_renal_papillary_cell_carcinoma,4750,11850,16600,132.57706651482118,computed,40.217971444129944
0,Liver_hepatocellular_carcinoma,5820,10780,16600,160.64937787927443,computed,38.771735191345215
0,Lung_adenocarcinoma,10360,6240,16600,266.36965833764975,computed,51.17681795358658
0,Lung_squamous_cell_carcinoma,9860,6740,16600,103.03252610779248,computed,41.93832814693451
0,Lymphoid_Neoplasm_Diffuse_Large_B-cell_Lymphoma,600,16000,16600,315.9393189309074,computed,52.15904676914215
0,Mesothelioma,1500,15100,16600,249.0925122605709,computed,46.97152590751648
0,Ovarian_serous_cystadenocarcinoma,1740,14860,16600,144.85316016332007,computed,46.294766306877136
0,Pancreatic_adenocarcinoma,2840,13760,16600,181.06481031102027,computed,48.09295856952667
0,Pheochromocytoma_and_Paraganglioma,930,15670,16600,301.3148347415755,computed,52.585605800151825
0,Prostate_adenocarcinoma,6880,9720,16600,125.61557046200232,computed,41.75156605243683
0,Rectum_adenocarcinoma,1350,15250,16600,178.51351676636853,computed,51.31128168106079
0,Sarcoma,9400,7200,16600,270.08339305904883,computed,48.66687148809433
0,Skin_Cutaneous_Melanoma,7030,9570,16600,266.8703853476413,computed,51.04861444234848
0,Stomach_adenocarcinoma,5660,10940,16600,141.6024070289974,computed,44.0292592048645
0,Testicular_Germ_Cell_Tumors,4210,12390,16600,275.2407507702419,computed,44.54285651445389
0,Thymoma,2520,14080,16600,143.92602112311766,computed,34.83207109570503
0,Thyroid_carcinoma,7940,8660,16600,203.54505578291344,computed,49.767246544361115
0,Uterine_Carcinosarcoma,1460,15140,16600,161.78085588832113,computed,49.411546647548676
0,Uterine_Corpus_Endometrial_Carcinoma,8760,7840,16600,164.27484867700912,computed,50.84936875104904
0,Uveal_Melanoma,1160,15440,16600,255.93611975063834,computed,52.464931070804596
