method,role,taxonomy_category,representative_paper,fidelity,split,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
focal,baseline,algorithm-level losses,Focal loss,standard baseline,test,0.8915769827357934,0.003669654679368582,0.8464119655573636,0.015942254245171747,0.8491167340581619,0.01570387503788779
ce,baseline,baseline,Unweighted cross-entropy,reference baseline,test,0.8920890352883394,0.011488562117550411,0.8422860852692731,0.029592199330006244,0.8459551386649156,0.02435001115865812
balanced_sampler_ce,baseline,data-level sampling,Class-balanced sampling,standard baseline,test,0.8903002896769672,0.011366511503680746,0.8527704437814373,0.01940399626051786,0.8454223532286722,0.020601326720323093
weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,standard baseline,test,0.8933665497188606,0.011636241053758902,0.8435907777926981,0.02712324618423135,0.8441784336802164,0.023747231476208705
rankmix_mil,representative,data-level sampling and augmentation,Chen and Lu; RankMix,WSI feature-bag adaptation,test,0.8724990923950996,0.010844844747033865,0.8268472882031642,0.02361436439253211,0.8254725468366354,0.0221942930518713
sc_mil,representative,representation and architecture,Juyal et al.; SC-MIL,supervised-contrastive MIL adaptation,test,0.8775658500202593,0.0017890630297923867,0.8238195543808985,0.017351678635874706,0.8239250767140186,0.01539117117195816
feature_gan_mil,representative,synthetic data generation,GAN/WGAN minority augmentation papers,frozen-feature synthetic analogue,test,0.8710516843554691,0.01289338043782877,0.8256483833176361,0.023302453831610236,0.8223492782665648,0.022985653083811137
cfal_mil,representative,algorithm-level losses,Mahbub et al.; CFAL,prototype-affinity implementation on frozen bags,test,0.8693047375096864,0.004975091850006881,0.8196013640628669,0.01624464148457166,0.8182632951563944,0.01304727540374906
mde_mil,representative,hybrid approaches,Ling et al.; MDE-MIL,two-expert MIL adaptation,test,0.8548249830713153,0.0056506093904820035,0.8165795633931916,0.016190815865208135,0.8041678536503314,0.006009458911798615
knn,baseline,feature-space probe,k-nearest neighbors,reference baseline,test,0.8348112530139821,0.012392447281995404,0.7678538972727313,0.015359612356179176,0.7691174340887552,0.011459052285951551
ncc,baseline,feature-space probe,Nearest-centroid classifier,reference baseline,test,0.7437190868256266,0.012149350598992944,0.7335583632682597,0.010736175298514634,0.6863297695786921,0.005491014784514941
ce,baseline,baseline,Unweighted cross-entropy,reference baseline,val,0.895131344090478,0.00676658181171733,0.8469312333734322,0.01752870261469222,0.8564119099575466,0.0162879565372262
balanced_sampler_ce,baseline,data-level sampling,Class-balanced sampling,standard baseline,val,0.8860163940544282,0.001126530644220468,0.8522121648571388,0.00904120891084602,0.8478144616532841,0.0035621564747368613
focal,baseline,algorithm-level losses,Focal loss,standard baseline,val,0.8843979121344763,0.00685583840957054,0.8384924661870921,0.005934172664397904,0.841492850942711,0.0029778400721065627
weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,standard baseline,val,0.8882725696900479,0.004399680808073174,0.8410776556439784,0.020772960279701,0.8404104307871246,0.015997829664536806
sc_mil,representative,representation and architecture,Juyal et al.; SC-MIL,supervised-contrastive MIL adaptation,val,0.8780090060049055,0.007162724273748964,0.8276084552084396,0.012386758591791686,0.8290435257482632,0.009975931393851632
rankmix_mil,representative,data-level sampling and augmentation,Chen and Lu; RankMix,WSI feature-bag adaptation,val,0.8737049782241986,0.012793368090592729,0.8303146624272472,0.015384256617319708,0.8289458620063144,0.015067831517528425
feature_gan_mil,representative,synthetic data generation,GAN/WGAN minority augmentation papers,frozen-feature synthetic analogue,val,0.8714473765901257,0.00935515550016481,0.823062693419037,0.0033701275828997637,0.8241384208301997,0.010359387517710636
cfal_mil,representative,algorithm-level losses,Mahbub et al.; CFAL,prototype-affinity implementation on frozen bags,val,0.8681696420727244,0.006278355562444928,0.8253477283232674,0.005867635221244277,0.8227342322435135,0.002471462209101281
mde_mil,representative,hybrid approaches,Ling et al.; MDE-MIL,two-expert MIL adaptation,val,0.8540708187287035,0.005618314247866627,0.8235925991774687,0.008220325670460082,0.8131566135915643,0.0011864333262080792
knn,baseline,feature-space probe,k-nearest neighbors,reference baseline,val,0.8308563057405817,0.008107887487190983,0.7731654194828734,0.011873125330731708,0.7780495244456246,0.010726395127673167
ncc,baseline,feature-space probe,Nearest-centroid classifier,reference baseline,val,0.7424303486760926,0.007651740511309208,0.7325797573876612,0.0064668205396985045,0.6868906541946597,0.005432804787316365
