method,role,taxonomy_category,representative_paper,fidelity,seed,split,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
ce,baseline,baseline,Unweighted cross-entropy,reference baseline,0,val,0.8874121405750799,0.8269737832304058,0.8637035197726353,0.8269737832304058,0.8376131580028645
ce,baseline,baseline,Unweighted cross-entropy,reference baseline,0,test,0.8926791874281333,0.8331254136037545,0.8615410029125188,0.8331254136037545,0.8389856113767948
ce,baseline,baseline,Unweighted cross-entropy,reference baseline,1,val,0.8979435432366841,0.8598306695220259,0.8861068476644663,0.8598306695220259,0.8653085714350708
ce,baseline,baseline,Unweighted cross-entropy,reference baseline,1,test,0.903271147457194,0.8753753641228503,0.8838051598621419,0.8753753641228503,0.8730299915513227
ce,baseline,baseline,Unweighted cross-entropy,reference baseline,2,val,0.9000383484596702,0.8539892473678647,0.8888583320825232,0.8539892473678647,0.8663140004347041
ce,baseline,baseline,Unweighted cross-entropy,reference baseline,2,test,0.8803167709796909,0.8183574780812144,0.8454249400651422,0.8183574780812144,0.8258498130666293
weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,standard baseline,0,val,0.8854952076677316,0.8518009850696192,0.8527376057194547,0.8518009850696192,0.8500094745253269
weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,standard baseline,0,test,0.9003449597546953,0.8553896804627112,0.8653259596844713,0.8553896804627112,0.8565710944174684
weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,standard baseline,1,val,0.8933452548218164,0.8542975283622729,0.853140118880984,0.8542975283622729,0.8492792783694099
weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,standard baseline,1,test,0.8998211091234347,0.862816212634709,0.8626251994731007,0.862816212634709,0.8591657638232479
weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,standard baseline,2,val,0.8859772465805957,0.817134453500043,0.8553878737541072,0.817134453500043,0.8219425394666371
weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,standard baseline,2,test,0.8799335802784519,0.8125664402806739,0.8527346911923096,0.8125664402806739,0.8167984427999326
focal,baseline,algorithm-level losses,Focal loss,standard baseline,0,val,0.8771884984025559,0.8372553926155355,0.8511360527064513,0.8372553926155355,0.8405299529558213
focal,baseline,algorithm-level losses,Focal loss,standard baseline,0,test,0.893573527532899,0.849565980933525,0.8740614973592309,0.849565980933525,0.856115925025268
focal,baseline,algorithm-level losses,Focal loss,standard baseline,1,val,0.8851705198620513,0.8449476665698925,0.8535391919932046,0.8449476665698925,0.8448329975583566
focal,baseline,algorithm-level losses,Focal loss,standard baseline,1,test,0.8938154868387427,0.860541472781029,0.8680270057267465,0.860541472781029,0.860104035604687
focal,baseline,algorithm-level losses,Focal loss,standard baseline,2,val,0.8908347181388214,0.833274339375848,0.8664615147631228,0.833274339375848,0.839115602313955
focal,baseline,algorithm-level losses,Focal loss,standard baseline,2,test,0.8873419338357389,0.829128442957537,0.8453557708087694,0.829128442957537,0.831130241544531
balanced_sampler_ce,baseline,data-level sampling,Class-balanced sampling,standard baseline,0,val,0.886261980830671,0.8618510359397128,0.8497758958774435,0.8618510359397128,0.8516201143388082
balanced_sampler_ce,baseline,data-level sampling,Class-balanced sampling,standard baseline,0,test,0.8980452280567267,0.8522288802678986,0.8602609352233506,0.8522288802678986,0.8520621573890665
balanced_sampler_ce,baseline,data-level sampling,Class-balanced sampling,standard baseline,1,val,0.8847873291608124,0.8508658520835783,0.8534127714846342,0.8508658520835783,0.8445600752939554
balanced_sampler_ce,baseline,data-level sampling,Class-balanced sampling,standard baseline,1,test,0.8956043956043956,0.8724395528526633,0.8621284991447924,0.8724395528526633,0.8618850044005507
balanced_sampler_ce,baseline,data-level sampling,Class-balanced sampling,standard baseline,2,val,0.8869998721718011,0.8439196065481254,0.8592616922786195,0.8439196065481254,0.8472631953270886
balanced_sampler_ce,baseline,data-level sampling,Class-balanced sampling,standard baseline,2,test,0.877251245369779,0.83364289822375,0.8225079568599885,0.83364289822375,0.8223198978963996
knn,baseline,feature-space probe,k-nearest neighbors,reference baseline,0,val,0.8224920127795528,0.760341035689077,0.7903149019611171,0.760341035689077,0.7684776539464018
knn,baseline,feature-space probe,k-nearest neighbors,reference baseline,0,test,0.8371023380605596,0.7708451198085129,0.7868063387906065,0.7708451198085129,0.7675727433203304
knn,baseline,feature-space probe,k-nearest neighbors,reference baseline,1,val,0.8313960914548474,0.7837755263802594,0.8061210213770715,0.7837755263802594,0.7896428104129933
knn,baseline,feature-space probe,k-nearest neighbors,reference baseline,1,test,0.8458982877587529,0.7814978742600793,0.7971941794592179,0.7814978742600793,0.7812704792368059
knn,baseline,feature-space probe,k-nearest neighbors,reference baseline,2,val,0.838680812987345,0.7753796963792841,0.7874091746374898,0.7753796963792841,0.7760281089774785
knn,baseline,feature-space probe,k-nearest neighbors,reference baseline,2,test,0.8214331332226338,0.7512186977496016,0.7758283657847546,0.7512186977496016,0.7585090797091294
ncc,baseline,feature-space probe,Nearest-centroid classifier,reference baseline,0,val,0.7385303514376996,0.7392245482006321,0.6927874145505069,0.7392245482006321,0.6874672017624013
ncc,baseline,feature-space probe,Nearest-centroid classifier,reference baseline,0,test,0.7576338316085346,0.7450386584343965,0.689227804460831,0.7450386584343965,0.6899284794878386
ncc,baseline,feature-space probe,Nearest-centroid classifier,reference baseline,1,val,0.7375143696512965,0.7263069663837075,0.6844669386951034,0.7263069663837075,0.6811925687196403
ncc,baseline,feature-space probe,Nearest-centroid classifier,reference baseline,1,test,0.7383082034244824,0.7237663547282707,0.6941716951190031,0.7237663547282707,0.6890512783254618
ncc,baseline,feature-space probe,Nearest-centroid classifier,reference baseline,2,val,0.7512463249392816,0.7322077575786441,0.6917727310389912,0.7322077575786441,0.6920121921019371
ncc,baseline,feature-space probe,Nearest-centroid classifier,reference baseline,2,test,0.7352152254438625,0.7318700766421118,0.6870026203738495,0.7318700766421118,0.6800095509227759
rankmix_mil,representative,data-level sampling and augmentation,Chen and Lu; RankMix,WSI feature-bag adaptation,0,val,0.8591693290734824,0.8222160851002176,0.8153635671527621,0.8222160851002176,0.8172012971150794
