method,split,role,taxonomy_category,representative_paper,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
patch_ce_soft_mcc_balanced,test,representative,algorithm-level losses,Scholz et al.; CE + soft MCC + balanced sampling,0.8371129745380174,0.006520615216254693,0.782025089374209,0.007843392687334215,0.7823025337075613,0.007393010625861832
patch_ce_soft_f1_balanced,test,representative,algorithm-level losses,Scholz et al.; CE + soft F1 + balanced sampling,0.8373687784615229,0.003988993436966083,0.7823897291384384,0.0035826724581880095,0.7817712597638121,0.0044707610355622755
patch_weighted_ce,test,baseline,algorithm-level losses,Class-weighted cross-entropy,0.8302484892652716,0.0042022482144416316,0.7742439889869678,0.006432311707388284,0.7758650743262061,0.012496814509822903
patch_ce,test,baseline,baseline,Unweighted cross-entropy,0.8337376076901908,0.002375362989926286,0.7699647902710535,0.0026846525090204448,0.7758497994114378,0.0017942213951494652
patch_balanced_sampler_ce,test,baseline,data-level sampling,Class-balanced sampling,0.8316191354207175,0.004681165666910118,0.7767120475531594,0.008629163697747709,0.7753551742660981,0.007844654058178436
patch_progan_aug,test,representative,synthetic generation,Ruiz-Casado et al.; ProGAN augmentation adaptation,0.830121843173849,0.0029013329656031052,0.7669732650389623,0.011279718989151526,0.7735234459535697,0.007977534303039964
patch_focal,test,baseline,algorithm-level losses,Focal loss,0.8302942505903209,0.0038373337736848858,0.7596937351429128,0.0017001543973308153,0.7658902743942778,0.002798501171226866
patch_ce_soft_f1_balanced,val,representative,algorithm-level losses,Scholz et al.; CE + soft F1 + balanced sampling,0.8384710784202446,0.008938241544896726,0.7952158695574888,0.006382307960331436,0.7967057714941594,0.012076753289518629
patch_ce_soft_mcc_balanced,val,representative,algorithm-level losses,Scholz et al.; CE + soft MCC + balanced sampling,0.8381444387206467,0.003504123097538954,0.7928961548303475,0.005932889109591457,0.7952285258027721,0.00684619188620842
patch_balanced_sampler_ce,val,baseline,data-level sampling,Class-balanced sampling,0.8356799870733335,0.007358748460451535,0.7942252636887526,0.005092661968762071,0.7932034358804074,0.003616186504482436
patch_weighted_ce,val,baseline,algorithm-level losses,Class-weighted cross-entropy,0.8334603352693245,0.008073541214590647,0.7875705593791151,0.003259817231797875,0.7876932188464044,0.007636010403734353
patch_ce,val,baseline,baseline,Unweighted cross-entropy,0.8352891356274329,0.008250749846274453,0.776925157749984,0.011276848884847195,0.7853771983145238,0.009859456599701435
patch_progan_aug,val,representative,synthetic generation,Ruiz-Casado et al.; ProGAN augmentation adaptation,0.8298717889981618,0.009800304481396628,0.7766218318371121,0.016196129676522186,0.7851970208734547,0.0115565172608936
patch_focal,val,baseline,algorithm-level losses,Focal loss,0.8308242614534126,0.009247065822710393,0.7711356035778335,0.008252119534534764,0.7793547221057461,0.011244354133576061
