method,role,taxonomy_category,representative_paper,seed,split,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
patch_ce,baseline,baseline,Unweighted cross-entropy,0,val,0.43312977099236644,0.32613255856596657,0.33834032746728926,0.32613255856596657,0.3259213203068994
patch_ce,baseline,baseline,Unweighted cross-entropy,0,test,0.41908396946564885,0.3237288432238495,0.35617754713978966,0.3237288432238495,0.32560495443769105
patch_ce,baseline,baseline,Unweighted cross-entropy,1,val,0.39541984732824426,0.27981152871116366,0.3475906931686715,0.27981152871116366,0.2866126945838617
patch_ce,baseline,baseline,Unweighted cross-entropy,1,test,0.40572519083969466,0.2882231743878067,0.33850158056407353,0.2882231743878067,0.2969814794582861
patch_ce,baseline,baseline,Unweighted cross-entropy,2,val,0.4454198473282443,0.3311824557625534,0.3797433267204313,0.3311824557625534,0.33675403596960196
patch_ce,baseline,baseline,Unweighted cross-entropy,2,test,0.4485496183206107,0.32613757373989055,0.3758171535304782,0.32613757373989055,0.33409200904686337
patch_weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,0,val,0.3482442748091603,0.34682793492618696,0.2982952183251463,0.34682793492618696,0.2916501281396047
patch_weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,0,test,0.3414503816793893,0.3315573176069001,0.2853419008800526,0.3315573176069001,0.28126737176671657
patch_weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,1,val,0.33236641221374047,0.3237969589457064,0.27629080957788854,0.3237969589457064,0.2738505335335669
patch_weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,1,test,0.3377862595419847,0.33279967442780567,0.2851153086010014,0.33279967442780567,0.28072005032888836
patch_weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,2,val,0.35946564885496185,0.35021751915569027,0.30111431343589096,0.35021751915569027,0.2997877272601225
patch_weighted_ce,baseline,algorithm-level losses,Class-weighted cross-entropy,2,test,0.36267175572519084,0.35531670591374687,0.3081223379780373,0.35531670591374687,0.30479831226394605
patch_focal,baseline,algorithm-level losses,Focal loss,0,val,0.4211450381679389,0.31462327467060575,0.3532556524283696,0.31462327467060575,0.3227334174780001
patch_focal,baseline,algorithm-level losses,Focal loss,0,test,0.412824427480916,0.3139557021553573,0.36105065161162564,0.3139557021553573,0.3221022233859182
