method,role,taxonomy_category,representative_paper,seed,split,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
mil_ce,baseline,baseline,Attention MIL with cross-entropy,0,val,0.8619808306709266,0.789295348504013,0.8328493537635997,0.789295348504013,0.7998552554826128
mil_ce,baseline,baseline,Attention MIL with cross-entropy,0,test,0.8875686725437588,0.8168256464037421,0.8466384499444841,0.8168256464037421,0.8233560662839299
mil_ce,baseline,baseline,Attention MIL with cross-entropy,1,val,0.8883637757057096,0.8448890188126379,0.8514536903229631,0.8448890188126379,0.8445680694135183
mil_ce,baseline,baseline,Attention MIL with cross-entropy,1,test,0.8967544083823153,0.8563281598121633,0.8771466255934963,0.8563281598121633,0.8623337911282243
mil_ce,baseline,baseline,Attention MIL with cross-entropy,2,val,0.8931356257190336,0.8457031274608655,0.8586722633190873,0.8457031274608655,0.8491674002881229
mil_ce,baseline,baseline,Attention MIL with cross-entropy,2,test,0.8868310129007536,0.8341472081207375,0.8385891797943097,0.8341472081207375,0.8333523420982899
mil_weighted_ce,baseline,algorithm-level losses,Class-weighted attention MIL,0,val,0.8738658146964856,0.8440194467878286,0.827794059796199,0.8440194467878286,0.8316293382930553
mil_weighted_ce,baseline,algorithm-level losses,Class-weighted attention MIL,0,test,0.876453302670244,0.8299812900277763,0.8228422430372013,0.8299812900277763,0.8197106514447412
mil_weighted_ce,baseline,algorithm-level losses,Class-weighted attention MIL,1,val,0.883893217524588,0.8392788815904018,0.8598966809402502,0.8392788815904018,0.8441573113804157
mil_weighted_ce,baseline,algorithm-level losses,Class-weighted attention MIL,1,test,0.886276514183491,0.8535744887751981,0.8622813889032084,0.8535744887751981,0.8498291981005964
mil_weighted_ce,baseline,algorithm-level losses,Class-weighted attention MIL,2,val,0.8877668413652051,0.8431225208912511,0.8470116259817614,0.8431225208912511,0.8396489872019515
mil_weighted_ce,baseline,algorithm-level losses,Class-weighted attention MIL,2,test,0.8771235151360327,0.8187891820218143,0.8259260512298374,0.8187891820218143,0.81783663172174
mil_focal,baseline,algorithm-level losses,Focal attention MIL,0,val,0.8762939297124601,0.8188554815398084,0.8437014751823408,0.8188554815398084,0.8271261735363931
mil_focal,baseline,algorithm-level losses,Focal attention MIL,0,test,0.8807972403219624,0.8160872119084805,0.8421983852243717,0.8160872119084805,0.8217667798780081
mil_focal,baseline,algorithm-level losses,Focal attention MIL,1,val,0.869842891812492,0.8209107077581657,0.8402488610859399,0.8209107077581657,0.8246464088511187
mil_focal,baseline,algorithm-level losses,Focal attention MIL,1,test,0.8741374904165602,0.8359838441773317,0.8488834243998786,0.8359838441773317,0.8376232541921594
mil_focal,baseline,algorithm-level losses,Focal attention MIL,2,val,0.8843154799948869,0.8355005418565827,0.8374082119187668,0.8355005418565827,0.832925285453102
mil_focal,baseline,algorithm-level losses,Focal attention MIL,2,test,0.8810831523821688,0.8196487587292985,0.835228891138778,0.8196487587292985,0.8225031872873682
mil_balanced_sampler_ce,baseline,data-level sampling,Balanced-sampling attention MIL,0,val,0.8674760383386582,0.8222968788924485,0.8404526602069079,0.8222968788924485,0.825394102722443
mil_balanced_sampler_ce,baseline,data-level sampling,Balanced-sampling attention MIL,0,test,0.8884630126485243,0.8315213368794029,0.8505359708765383,0.8315213368794029,0.8343044768800898
mil_balanced_sampler_ce,baseline,data-level sampling,Balanced-sampling attention MIL,1,val,0.8849150593945587,0.8459384809070885,0.8510888331174787,0.8459384809070885,0.8433384272824204
