split,cancer_type,n_slides
test,Adrenocortical_carcinoma,25
test,Bladder_Urothelial_Carcinoma,50
test,Brain_Lower_Grade_Glioma,118
test,Breast_invasive_carcinoma,116
test,Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,31
test,Cholangiocarcinoma,4
test,Colon_adenocarcinoma,32
test,Esophageal_carcinoma,17
test,Glioblastoma_multiforme,119
test,Head_and_Neck_squamous_cell_carcinoma,49
test,Kidney_Chromophobe,12
test,Kidney_renal_clear_cell_carcinoma,58
test,Kidney_renal_papillary_cell_carcinoma,34
test,Liver_hepatocellular_carcinoma,42
test,Lung_adenocarcinoma,74
test,Lung_squamous_cell_carcinoma,70
test,Lymphoid_Neoplasm_Diffuse_Large_B-cell_Lymphoma,4
test,Mesothelioma,10
test,Ovarian_serous_cystadenocarcinoma,13
test,Pancreatic_adenocarcinoma,21
test,Pheochromocytoma_and_Paraganglioma,7
test,Prostate_adenocarcinoma,49
test,Rectum_adenocarcinoma,9
test,Sarcoma,68
test,Skin_Cutaneous_Melanoma,51
test,Stomach_adenocarcinoma,41
test,Testicular_Germ_Cell_Tumors,30
test,Thymoma,18
test,Thyroid_carcinoma,57
test,Uterine_Carcinosarcoma,11
test,Uterine_Corpus_Endometrial_Carcinoma,62
test,Uveal_Melanoma,8
train,Adrenocortical_carcinoma,116
train,Bladder_Urothelial_Carcinoma,233
train,Brain_Lower_Grade_Glioma,548
train,Breast_invasive_carcinoma,538
train,Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,147
train,Cholangiocarcinoma,22
train,Colon_adenocarcinoma,148
train,Esophageal_carcinoma,79
train,Glioblastoma_multiforme,554
train,Head_and_Neck_squamous_cell_carcinoma,231
train,Kidney_Chromophobe,58
train,Kidney_renal_clear_cell_carcinoma,273
train,Kidney_renal_papillary_cell_carcinoma,159
train,Liver_hepatocellular_carcinoma,194
train,Lung_adenocarcinoma,346
train,Lung_squamous_cell_carcinoma,329
train,Lymphoid_Neoplasm_Diffuse_Large_B-cell_Lymphoma,20
train,Mesothelioma,50
train,Ovarian_serous_cystadenocarcinoma,58
train,Pancreatic_adenocarcinoma,95
train,Pheochromocytoma_and_Paraganglioma,31
train,Prostate_adenocarcinoma,230
train,Rectum_adenocarcinoma,45
train,Sarcoma,315
train,Skin_Cutaneous_Melanoma,235
train,Stomach_adenocarcinoma,192
train,Testicular_Germ_Cell_Tumors,141
train,Thymoma,84
train,Thyroid_carcinoma,265
train,Uterine_Carcinosarcoma,49
train,Uterine_Corpus_Endometrial_Carcinoma,292
train,Uveal_Melanoma,39
val,Adrenocortical_carcinoma,25
val,Bladder_Urothelial_Carcinoma,50
val,Brain_Lower_Grade_Glioma,118
val,Breast_invasive_carcinoma,116
val,Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,31
val,Cholangiocarcinoma,4
val,Colon_adenocarcinoma,32
val,Esophageal_carcinoma,17
val,Glioblastoma_multiforme,119
val,Head_and_Neck_squamous_cell_carcinoma,49
val,Kidney_Chromophobe,12
val,Kidney_renal_clear_cell_carcinoma,58
val,Kidney_renal_papillary_cell_carcinoma,34
val,Liver_hepatocellular_carcinoma,42
val,Lung_adenocarcinoma,74
val,Lung_squamous_cell_carcinoma,70
val,Lymphoid_Neoplasm_Diffuse_Large_B-cell_Lymphoma,4
val,Mesothelioma,10
val,Ovarian_serous_cystadenocarcinoma,13
val,Pancreatic_adenocarcinoma,21
val,Pheochromocytoma_and_Paraganglioma,7
val,Prostate_adenocarcinoma,49
val,Rectum_adenocarcinoma,9
val,Sarcoma,68
val,Skin_Cutaneous_Melanoma,51
val,Stomach_adenocarcinoma,41
val,Testicular_Germ_Cell_Tumors,30
val,Thymoma,18
val,Thyroid_carcinoma,57
val,Uterine_Carcinosarcoma,11
val,Uterine_Corpus_Endometrial_Carcinoma,62
val,Uveal_Melanoma,8
